Term of Loan in Years,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1/12/2004,4.88,4.92,5.34,5.34,6.04,6.04,6.5,6.5,6.93,6.93,6.93,6.93,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94
1/19/2004,4.93,4.77,5.04,5.04,5.71,5.71,6.17,6.17,6.65,6.65,6.65,6.65,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72
1/26/2004,4.87,4.74,5.04,5.04,5.69,5.69,6.14,6.14,6.59,6.59,6.59,6.59,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
2/2/2004,4.71,4.72,5.12,5.12,5.79,5.79,6.23,6.23,6.68,6.68,6.68,6.68,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74
2/9/2004,4.73,4.72,5.06,5.06,5.73,5.73,6.18,6.18,6.61,6.61,6.61,6.61,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78
2/16/2004,4.88,4.78,5.06,5.06,5.69,5.69,6.13,6.13,6.57,6.57,6.57,6.57,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72
2/23/2004,4.65,4.61,4.92,4.92,5.59,5.59,6.04,6.04,6.49,6.49,6.49,6.49,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63
3/1/2004,4.81,4.64,4.93,4.93,5.57,5.57,6.01,6.01,6.47,6.47,6.47,6.47,5,5,5,5,5,5,5,5,5,5,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64
3/8/2004,4.59,4.53,4.89,4.89,5.54,5.54,5.97,5.97,6.42,6.42,6.42,6.42,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65
3/15/2004,4.53,4.36,4.59,4.59,5.21,5.21,5.65,5.65,6.13,6.13,6.13,6.13,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46
3/22/2004,4.51,4.33,4.61,4.61,5.18,5.18,5.62,5.62,6.1,6.1,6.1,6.1,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44
3/29/2004,4.48,4.29,4.58,4.58,5.17,5.17,5.61,5.61,6.08,6.08,6.08,6.08,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46
4/5/2004,4.58,4.46,4.68,4.68,5.34,5.34,5.8,5.8,6.27,6.27,6.27,6.27,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57
4/12/2004,4.58,4.7,5.1,5.1,5.79,5.79,6.23,6.23,6.67,6.67,6.67,6.67,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85
4/19/2004,4.81,4.9,5.2,5.2,5.9,5.9,6.34,6.34,6.75,6.75,6.75,6.75,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95
4/26/2004,5,5.04,5.33,5.33,5.97,5.97,6.4,6.4,6.8,6.8,6.8,6.8,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01
5/3/2004,4.87,5.05,5.45,5.45,6.05,6.05,6.47,6.47,6.82,6.82,6.82,6.82,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08
5/10/2004,5.07,5.2,5.53,5.53,6.14,6.14,6.55,6.55,6.91,6.91,6.91,6.91,5.58,5.58,5.58,5.58,5.58,5.58,5.58,5.58,5.58,5.58,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19
5/17/2004,5.21,5.37,5.73,5.73,6.31,6.31,6.69,6.69,7.04,7.04,7.04,7.04,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41
5/24/2004,5.11,5.32,5.76,5.76,6.33,6.33,6.72,6.72,7.06,7.06,7.06,7.06,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37
5/31/2004,4.99,5.18,5.57,5.57,6.15,6.15,6.53,6.53,6.89,6.89,6.89,6.89,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38
6/7/2004,5.1,5.29,5.71,5.71,6.25,6.25,6.62,6.62,6.96,6.96,6.96,6.96,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35
6/14/2004,5.45,5.52,5.83,5.83,6.36,6.36,6.73,6.73,7.05,7.05,7.05,7.05,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37
6/21/2004,5.44,5.46,5.72,5.72,6.15,6.15,6.48,6.48,6.81,6.81,6.81,6.81,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37
6/28/2004,5.44,5.43,5.68,5.68,6.15,6.15,6.5,6.5,6.82,6.82,6.82,6.82,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31
7/5/2004,5.5,5.48,5.71,5.71,6.18,6.18,6.52,6.52,6.84,6.84,6.84,6.84,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27,6.27
7/12/2004,5.17,5.12,5.36,5.36,5.88,5.88,6.25,6.25,6.6,6.6,6.6,6.6,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07
7/19/2004,5.14,5.14,5.36,5.36,5.87,5.87,6.24,6.24,6.59,6.59,6.59,6.59,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06
7/26/2004,5.24,5.24,5.43,5.43,5.91,5.91,6.25,6.25,6.58,6.58,6.58,6.58,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04
8/2/2004,5.29,5.36,5.57,5.57,6.04,6.04,6.37,6.37,6.69,6.69,6.69,6.69,5.58,5.58,5.58,5.58,5.58,5.58,5.58,5.58,5.58,5.58,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14,6.14
8/9/2004,5.2,5.22,5.49,5.49,5.93,5.93,6.27,6.27,6.59,6.59,6.59,6.59,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06
8/16/2004,5.2,5.19,5.39,5.39,5.83,5.83,6.18,6.18,6.52,6.52,6.52,6.52,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91
8/23/2004,5.13,5.07,5.32,5.32,5.73,5.73,6.09,6.09,6.41,6.41,6.41,6.41,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87
8/30/2004,5.17,5.11,5.36,5.36,5.77,5.77,6.13,6.13,6.45,6.45,6.45,6.45,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88
9/6/2004,5.47,5.18,5.27,5.27,5.64,5.64,5.98,5.98,6.29,6.29,6.29,6.29,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84
9/13/2004,5.31,5.12,5.3,5.3,5.66,5.66,5.98,5.98,6.29,6.29,6.29,6.29,5.34,5.34,5.34,5.34,5.34,5.34,5.34,5.34,5.34,5.34,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
9/20/2004,5.34,5.12,5.31,5.31,5.64,5.64,5.96,5.96,6.28,6.28,6.28,6.28,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82
9/27/2004,5.31,5.06,5.13,5.13,5.45,5.45,5.75,5.75,6.09,6.09,6.09,6.09,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76
10/4/2004,5.09,4.95,5.02,5.02,5.34,5.34,5.65,5.65,5.95,5.95,5.95,5.95,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78
10/11/2004,5.2,5.09,5.18,5.18,5.54,5.54,5.86,5.86,6.16,6.16,6.16,6.16,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88
10/18/2004,5.13,4.96,5.04,5.04,5.41,5.41,5.76,5.76,6.06,6.06,6.06,6.06,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8
10/25/2004,5.33,5.05,5.09,5.09,5.4,5.4,5.72,5.72,6.02,6.02,6.02,6.02,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75
11/1/2004,5.46,5.06,5.06,5.06,5.32,5.32,5.62,5.62,5.92,5.92,5.92,5.92,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
11/8/2004,5.12,4.86,4.94,4.94,5.27,5.27,5.6,5.6,5.9,5.9,5.9,5.9,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76
11/15/2004,5.28,5.09,5.23,5.23,5.51,5.51,5.78,5.78,6.08,6.08,6.08,6.08,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82
11/22/2004,5.48,5.22,5.23,5.23,5.46,5.46,5.74,5.74,5.99,5.99,5.99,5.99,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8
11/29/2004,5.58,5.34,5.34,5.34,5.54,5.54,5.8,5.8,6.02,6.02,6.02,6.02,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78
12/6/2004,5.31,5.18,5.25,5.25,5.53,5.53,5.81,5.81,6.05,6.05,6.05,6.05,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87
12/13/2004,5.46,5.17,5.18,5.18,5.41,5.41,5.67,5.67,5.9,5.9,5.9,5.9,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77
12/20/2004,5.49,5.2,5.16,5.16,5.34,5.34,5.56,5.56,5.81,5.81,5.81,5.81,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74
12/27/2004,5.29,5.09,5.07,5.07,5.28,5.28,5.53,5.53,5.78,5.78,5.78,5.78,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81
1/3/2005,5.31,5.1,5.1,5.1,5.34,5.34,5.61,5.61,5.86,5.86,5.86,5.86,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87
1/10/2005,5.41,5.16,5.06,5.06,5.24,5.24,5.47,5.47,5.71,5.71,5.71,5.71,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83
1/17/2005,5.22,5.09,5.09,5.09,5.26,5.26,5.48,5.48,5.7,5.7,5.7,5.7,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8
1/24/2005,5.42,5.2,5.16,5.16,5.3,5.3,5.47,5.47,5.66,5.66,5.66,5.66,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73
1/31/2005,5.3,5.13,5.1,5.1,5.27,5.27,5.45,5.45,5.63,5.63,5.63,5.63,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72
2/7/2005,5.54,5.27,5.19,5.19,5.25,5.25,5.39,5.39,5.56,5.56,5.56,5.56,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69
2/14/2005,5.61,5.29,5.24,5.24,5.28,5.28,5.4,5.4,5.54,5.54,5.54,5.54,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64
2/21/2005,5.65,5.34,5.29,5.29,5.34,5.34,5.45,5.45,5.58,5.58,5.58,5.58,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68
2/28/2005,5.66,5.32,5.28,5.28,5.38,5.38,5.5,5.5,5.63,5.63,5.63,5.63,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75
3/7/2005,5.64,5.37,5.34,5.34,5.46,5.46,5.56,5.56,5.68,5.68,5.68,5.68,5.42,5.42,5.42,5.42,5.42,5.42,5.42,5.42,5.42,5.42,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85
3/14/2005,5.55,5.37,5.36,5.36,5.47,5.47,5.57,5.57,5.68,5.68,5.68,5.68,5.47,5.47,5.47,5.47,5.47,5.47,5.47,5.47,5.47,5.47,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91
3/21/2005,5.7,5.48,5.48,5.48,5.6,5.6,5.68,5.68,5.79,5.79,5.79,5.79,5.58,5.58,5.58,5.58,5.58,5.58,5.58,5.58,5.58,5.58,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02
3/28/2005,5.74,5.53,5.53,5.53,5.64,5.64,5.72,5.72,5.83,5.83,5.83,5.83,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08
4/4/2005,5.83,5.64,5.63,5.63,5.72,5.72,5.78,5.78,5.88,5.88,5.88,5.88,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11
4/11/2005,5.54,5.4,5.42,5.42,5.62,5.62,5.71,5.71,5.82,5.82,5.82,5.82,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
4/18/2005,5.42,5.33,5.43,5.43,5.6,5.6,5.68,5.68,5.79,5.79,5.79,5.79,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98
