Term of Loan in Years,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
4/18/2016,2.89,2.92,2.89,2.89,3,3,3.28,3.28,3.48,3.48,3.48,3.48,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62
4/25/2016,3.08,3.04,2.96,2.96,3.01,3.01,3.27,3.27,3.46,3.46,3.46,3.46,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64
5/2/2016,3.09,3.07,2.99,2.99,3.06,3.06,3.32,3.32,3.51,3.51,3.51,3.51,2.98,2.98,2.98,2.98,2.98,2.98,2.98,2.98,2.98,2.98,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71
5/9/2016,3.1,3.05,2.95,2.95,3,3,3.27,3.27,3.47,3.47,3.47,3.47,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66
5/16/2016,3.09,3.02,2.93,2.93,2.98,2.98,3.24,3.24,3.45,3.45,3.45,3.45,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61
5/23/2016,3.1,3.06,2.98,2.98,3,3,3.23,3.23,3.38,3.38,3.38,3.38,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63
5/30/2016,3.12,3.09,3.01,3.01,3.07,3.07,3.29,3.29,3.44,3.44,3.44,3.44,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68
6/6/2016,3.12,3.06,3,3,3.08,3.08,3.32,3.32,3.46,3.46,3.46,3.46,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7
6/13/2016,3.13,3.05,2.98,2.98,3.02,3.02,3.25,3.25,3.41,3.41,3.41,3.41,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64
6/20/2016,3.08,3,2.89,2.89,2.94,2.94,3.17,3.17,3.33,3.33,3.33,3.33,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58
6/27/2016,3.06,2.98,2.88,2.88,2.94,2.94,3.17,3.17,3.34,3.34,3.34,3.34,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61
7/4/2016,3.06,2.96,2.85,2.85,2.9,2.9,3.11,3.11,3.27,3.27,3.27,3.27,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52
7/11/2016,3.01,2.97,2.93,2.93,2.88,2.88,3.08,3.08,3.22,3.22,3.22,3.22,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45
7/18/2016,3.11,3.07,2.95,2.95,2.92,2.92,3.12,3.12,3.25,3.25,3.25,3.25,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46
7/25/2016,3.09,3.03,3.02,3.02,2.98,2.98,3.19,3.19,3.33,3.33,3.33,3.33,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49
8/1/2016,3.11,3.08,3.05,3.05,2.98,2.98,3.19,3.19,3.32,3.32,3.32,3.32,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52
8/8/2016,2.94,2.96,2.93,2.93,2.93,2.93,3.16,3.16,3.31,3.31,3.31,3.31,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47
8/15/2016,3.35,3.18,3.02,3.02,2.94,2.94,3.16,3.16,3.29,3.29,3.29,3.29,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49
8/22/2016,3.03,3,2.91,2.91,2.92,2.92,3.14,3.14,3.25,3.25,3.25,3.25,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47
8/29/2016,3.11,3.06,2.95,2.95,2.91,2.91,3.13,3.13,3.24,3.24,3.24,3.24,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48
9/5/2016,3.12,3.09,2.98,2.98,2.91,2.91,3.13,3.13,3.22,3.22,3.22,3.22,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48
9/12/2016,3.39,3.16,3.1,3.1,2.97,2.97,3.2,3.2,3.3,3.3,3.3,3.3,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49
9/19/2016,3.13,3.09,2.99,2.99,2.97,2.97,3.23,3.23,3.36,3.36,3.36,3.36,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49
9/26/2016,3.15,3.06,2.97,2.97,3,3,3.24,3.24,3.38,3.38,3.38,3.38,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53
10/3/2016,3.32,3.05,2.96,2.96,2.97,2.97,3.2,3.2,3.33,3.33,3.33,3.33,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46
10/10/2016,3.17,2.98,2.99,2.99,2.96,2.96,3.2,3.2,3.34,3.34,3.34,3.34,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46
10/17/2016,3.16,2.97,2.99,2.99,2.98,2.98,3.23,3.23,3.37,3.37,3.37,3.37,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52
10/24/2016,3.16,3.3,3.01,3.01,3.01,3.01,3.27,3.27,3.44,3.44,3.44,3.44,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56
10/31/2016,2.98,2.99,2.95,2.95,3,3,3.24,3.24,3.41,3.41,3.41,3.41,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52
11/7/2016,2.97,2.98,2.96,2.96,3.03,3.03,3.3,3.3,3.49,3.49,3.49,3.49,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58
11/14/2016,2.99,2.98,2.97,2.97,3.04,3.04,3.33,3.33,3.52,3.52,3.52,3.52,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61
11/21/2016,2.89,2.96,3.06,3.06,3.23,3.23,3.54,3.54,3.71,3.71,3.71,3.71,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98
11/28/2016,3.23,3.12,3.23,3.23,3.28,3.28,3.58,3.58,3.73,3.73,3.73,3.73,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07
12/5/2016,3.19,3.11,3.24,3.24,3.31,3.31,3.61,3.61,3.76,3.76,3.76,3.76,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12
12/12/2016,3.22,3.22,3.26,3.26,3.37,3.37,3.66,3.66,3.82,3.82,3.82,3.82,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17
12/19/2016,3.25,3.16,3.28,3.28,3.35,3.35,3.65,3.65,3.83,3.83,3.83,3.83,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
12/26/2016,3.37,3.28,3.41,3.41,3.48,3.48,3.76,3.76,3.92,3.92,3.92,3.92,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34
